ticker,date,gvkey,comp_name,fiscal_year,fiscal_quarter,assets,net_income,ebitda,revenue,rd_expense,cap_ex_ytd,sector_code
GM,2016-06-30,5073,GENERAL MOTORS CO,2016,2,210449.0,2866.0,5458.0,37383.0,,14813.0,25
GM,2016-09-30,5073,GENERAL MOTORS CO,2016,3,217576.0,2773.0,5567.0,38889.0,,21957.0,25
GM,2016-12-31,5073,GENERAL MOTORS CO,2016,4,221690.0,1835.0,4656.0,39896.0,6600.0,29166.0,25
GM,2017-03-31,5073,GENERAL MOTORS CO,2017,1,230793.0,2608.0,5305.0,37266.0,,6765.0,25
GM,2017-06-30,5073,GENERAL MOTORS CO,2017,2,240300.0,1660.0,5832.0,36984.0,,14070.0,25
GM,2017-09-30,5073,GENERAL MOTORS CO,2017,3,229502.0,-2981.0,4706.0,33623.0,,21162.0,25
GM,2017-12-31,5073,GENERAL MOTORS CO,2017,4,212482.0,-5151.0,5359.0,37715.0,7300.0,27633.0,25
GM,2018-03-31,5073,GENERAL MOTORS CO,2018,1,218726.0,1046.0,4568.0,36099.0,,6768.0,25
GM,2018-06-30,5073,GENERAL MOTORS CO,2018,2,218641.0,2390.0,4772.0,36760.0,,13473.0,25
GM,2018-09-30,5073,GENERAL MOTORS CO,2018,3,225711.0,2534.0,5355.0,35791.0,,19613.0,25
GM,2018-12-31,5073,GENERAL MOTORS CO,2018,4,227339.0,2044.0,5797.0,38399.0,7800.0,25497.0,25
GM,2019-03-31,5073,GENERAL MOTORS CO,2019,1,233132.0,2157.0,4505.0,34878.0,,5761.0,25
GM,2019-06-30,5073,GENERAL MOTORS CO,2019,2,233737.0,2418.0,5734.0,36060.0,,11665.0,25
GM,2019-09-30,5073,GENERAL MOTORS CO,2019,3,231529.0,2351.0,5879.0,35473.0,,17340.0,25
GM,2019-12-31,5073,GENERAL MOTORS CO,2019,4,228037.0,-194.0,2598.0,30826.0,6800.0,23996.0,25
GM,2020-03-31,5073,GENERAL MOTORS CO,2020,1,246624.0,294.0,4344.0,32709.0,,4957.0,25
GM,2020-06-30,5073,GENERAL MOTORS CO,2020,2,237535.0,-758.0,2136.0,16778.0,,8390.0,25
GM,2020-09-30,5073,GENERAL MOTORS CO,2020,3,239671.0,4045.0,7658.0,35480.0,,13796.0,25
GM,2020-12-31,5073,GENERAL MOTORS CO,2020,4,235194.0,2846.0,5824.0,37518.0,6200.0,20533.0,25
GM,2021-03-31,5073,GENERAL MOTORS CO,2021,1,238411.0,3022.0,6292.0,32474.0,,6991.0,25
GM,2021-06-30,5073,GENERAL MOTORS CO,2021,2,241803.0,2836.0,6807.0,34167.0,,14890.0,25
GM,2021-09-30,5073,GENERAL MOTORS CO,2021,3,238557.0,2420.0,4277.0,26779.0,,21008.0,25
GM,2021-12-31,5073,GENERAL MOTORS CO,2021,4,244718.0,1741.0,4707.0,33584.0,7900.0,22111.0,25
GM,2022-03-31,5073,GENERAL MOTORS CO,2022,1,251492.0,2939.0,6144.0,35979.0,,4651.0,25
GM,2022-06-30,5073,GENERAL MOTORS CO,2022,2,253517.0,1692.0,4961.0,35759.0,,10032.0,25
GM,2022-09-30,5073,GENERAL MOTORS CO,2022,3,260529.0,3304.0,6164.0,41889.0,,14995.0,25
GM,2022-12-31,5073,GENERAL MOTORS CO,2022,4,264037.0,1999.0,5890.0,43108.0,9800.0,21187.0,25
GM,2023-03-31,5073,GENERAL MOTORS CO,2023,1,267004.0,2395.0,6363.0,39985.0,,5585.0,25
GM,2023-06-30,5073,GENERAL MOTORS CO,2023,2,275833.0,2567.0,5894.0,44747.0,,11517.0,25
GM,2023-09-30,5073,GENERAL MOTORS CO,2023,3,281705.0,3064.0,6128.0,44131.0,,17511.0,25
GM,2023-12-31,5073,GENERAL MOTORS CO,2023,4,273064.0,2101.0,4515.0,42979.0,9900.0,24610.0,25
